id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_cp,beta_tcc,beta_TNSR,beta_TEM,beta_RH,se_Intercept,se_cp,se_tcc,se_TNSR,se_TEM,se_850RH,t_Intercept,t_cp,t_tcc,t_TNSR,t_TEM,t_RH,p_Intercept,p_cp,p_tcc,p_TNSR,p_TEM,p_RH,sumW_Intercept,sumW_cp,sumW_tcc,sumW_TNSR,sumW_TEM,sumW_RH
494,623840.4683,3147367.899,-1.027608421,-0.608891835,-1.174412954,0.146804533,0.731623003,-0.849658574,-0.026502004,-0.440460428,-0.146904457,-0.3841867,0.209314754,0.056893324,0.101739089,0.080774688,0.092376504,0.042205402,0.124212951,-14.93424041,-0.260489891,-5.452951162,-1.590279465,-9.102784944,1.685128263,1.30E-45,0.794540357,6.26E-08,0.112092705,4.78E-19,0.092280581,16.78125329,13.61538732,16.78125329,16.78125329,53.99609427,13.61538732
495,652140.4683,3147367.899,-0.842520185,-0.556560112,-0.9984937,0.155973515,0.749709802,-0.787469576,-0.059893701,-0.43111345,-0.083545778,-0.360740263,0.228307466,0.052387314,0.097353375,0.082163992,0.093395445,0.042710639,0.125771827,-15.03168441,-0.615219558,-5.246987637,-0.894538039,-8.446145279,1.815251256,3.94E-46,0.538551839,1.89E-07,0.371252611,1.07E-16,0.069789309,16.78125329,13.61538732,16.78125329,16.78125329,53.59320549,13.61538732
496,680440.4683,3147367.899,-0.979117403,-0.788182637,-0.838158396,-0.140959007,0.741009965,-0.713809051,-0.090634064,-0.424443448,-0.029389292,-0.344852651,0.231909569,0.050695538,0.092779907,0.082931076,0.095886177,0.043385292,0.127325243,-14.08031319,-0.976871682,-5.118026543,-0.306501861,-7.94860733,1.82139506,3.69E-41,0.328872533,3.71E-07,0.759287339,5.14E-15,0.068850041,16.78125329,13.61538732,16.78125329,16.78125329,54.0669483,13.61538732
497,708740.4683,3147367.899,-0.269821409,-0.159890692,-0.752649742,0.482828333,0.715803331,-0.63264165,-0.106052495,-0.406427437,-0.000155656,-0.335615511,0.235969898,0.051220432,0.094404406,0.083792386,0.10028396,0.044001957,0.128429686,-12.35135335,-1.123385011,-4.850410122,-0.001552154,-7.627285965,1.837346995,1.09E-32,0.261547734,1.43E-06,0.998761875,5.64E-14,0.066459784,16.78125329,13.61538732,16.78125329,16.78125329,54.35282131,13.61538732
498,737040.4683,3147367.899,-0.587420423,-0.57140414,-0.681402059,0.093981636,0.707685957,-0.544309959,-0.084582535,-0.380523467,0.009376864,-0.327441013,0.242505513,0.053163357,0.102716403,0.084656841,0.103897746,0.044683968,0.128633611,-10.23844216,-0.823456946,-4.494893293,0.090250893,-7.327930488,1.885242214,1.90E-23,0.410447515,7.79E-06,0.928106191,4.86E-13,0.05969128,16.78125329,13.61538732,16.78125329,16.78125329,52.36641037,13.61538732
499,765340.4683,3147367.899,-0.525132904,-0.522388264,-0.559777388,0.034644484,0.777327393,-0.444496775,-0.033907049,-0.362844653,0.013524677,-0.312561229,0.243686306,0.056488187,0.10284397,0.084950158,0.105734589,0.045413848,0.127523608,-7.868844845,-0.329694085,-4.271265211,0.127911568,-6.882509189,1.910911321,9.39E-15,0.741701221,2.13E-05,0.898245065,1.05E-11,0.056306031,16.78125329,13.61538732,16.78125329,16.78125329,52.36641037,13.61538732
500,793640.4683,3147367.899,-0.452932062,-0.417591248,-0.363659526,-0.089272535,0.852237038,-0.326100933,0.030023797,-0.34704343,0.022512305,-0.290224185,0.244853739,0.059811363,0.088773964,0.084025026,0.106237233,0.046225644,0.124139397,-5.452156906,0.33820498,-4.130238915,0.211905983,-6.278423838,1.972409595,6.29E-08,0.735280794,3.93E-05,0.832224222,5.12E-10,0.048842235,16.78125329,13.61538732,16.78125329,16.78125329,52.36641037,13.61538732
501,821940.4683,3147367.899,-0.077284418,-0.184888706,-0.182226106,0.104941688,0.8498132,-0.19721208,0.1013239,-0.316376136,0.038842482,-0.257599529,0.226905862,0.061377052,0.071271034,0.082997394,0.106971644,0.046837107,0.117923577,-3.213124026,1.42167013,-3.81188035,0.363110079,-5.499902633,1.924177232,0.00135561,0.155438573,0.000146475,0.716600563,4.84E-08,0.054620225,16.78125329,13.61538732,16.78125329,16.78125329,52.36641037,13.61538732
502,850240.4683,3147367.899,-0.073286905,-0.145527578,-0.041064654,-0.032222251,0.789211166,-0.072356855,0.128861521,-0.276361135,0.074856722,-0.212902035,0.178052077,0.060613021,0.064700445,0.084740231,0.10933429,0.047010703,0.114428918,-1.193751007,1.991663604,-3.261274288,0.684659146,-4.52879921,1.556005949,0.2328628,0.046683762,0.001147182,0.493720098,6.66E-06,0.120027902,16.78125329,13.61538732,16.78125329,16.78125329,52.36641037,13.61538732
503,878540.4683,3147367.899,0.160152605,-0.16997974,0.114183589,0.045969016,0.726246608,0.028028253,0.110078429,-0.221020786,0.138487485,-0.152370463,0.103034359,0.059109227,0.061135073,0.09144913,0.11941456,0.047520803,0.114604458,0.474177291,1.800577356,-2.416871392,1.159720262,-3.206394971,0.899043197,0.635478579,0.072075341,0.015835387,0.246443753,0.001387377,0.368849373,16.78125329,13.61538732,16.78125329,16.78125329,52.36641039,13.61538732
